"Participant"	"Block"	"Episode"	"First_Action"	"first_non_na_index"	"Movement"	"Movement_Words"	"Balance"	"X0_y"	"side"	"correct_key"	"optimal_key"	"Tic"	"Time_of_Action"	"Time_of_Episode"
4	2	1	"MOVE_RIGHT"	23	0	"normal"	1	-118.833114624023	"right"	"correct"	TRUE	38	0.76	1.7
4	2	2	"MOVE_RIGHT"	17	0	"normal"	1	-223.655014038086	"right"	"correct"	TRUE	32	0.64	1.52
4	2	3	"MOVE_LEFT"	19	1	"inverted"	1	-104.153121948242	"right"	"correct"	FALSE	34	0.68	3.68
4	2	4	"MOVE_RIGHT"	21	0	"normal"	1	-126.819900512695	"right"	"correct"	TRUE	36	0.72	1.4
4	2	5	"MOVE_RIGHT"	27	0	"normal"	1	211.422439575195	"left"	"incorrect"	TRUE	42	0.84	2.34
4	2	6	"MOVE_LEFT"	14	1	"inverted"	1	213.843154907227	"left"	"incorrect"	FALSE	29	0.58	1.38
4	2	7	"MOVE_LEFT"	13	1	"inverted"	1	91.0882720947266	"left"	"incorrect"	FALSE	28	0.56	1
4	2	8	"MOVE_RIGHT"	18	0	"normal"	1	-80.7222595214844	"right"	"correct"	TRUE	33	0.66	1.2
4	2	9	"MOVE_RIGHT"	17	0	"normal"	1	-88.1070098876953	"right"	"correct"	TRUE	32	0.64	1.18
4	2	10	"MOVE_LEFT"	24	1	"inverted"	1	273.705337524414	"left"	"incorrect"	FALSE	39	0.78	1.9
4	2	11	"MOVE_LEFT"	19	1	"inverted"	1	82.7662658691406	"left"	"incorrect"	FALSE	34	0.68	1.06
4	2	12	"MOVE_LEFT"	20	1	"inverted"	1	-128.120544433594	"right"	"correct"	FALSE	35	0.7	2.18
4	2	13	"MOVE_RIGHT"	24	0	"normal"	1	-198.94807434082	"right"	"correct"	TRUE	39	0.78	1.58
4	2	14	"MOVE_LEFT"	24	1	"inverted"	1	256.280792236328	"left"	"incorrect"	FALSE	39	0.78	1.62
4	2	15	"MOVE_RIGHT"	17	0	"normal"	1	-220.912872314453	"right"	"correct"	TRUE	32	0.64	1.54
4	2	16	"MOVE_LEFT"	16	1	"inverted"	1	212.064758300781	"left"	"incorrect"	FALSE	31	0.62	1.32
4	2	17	"MOVE_LEFT"	18	1	"inverted"	1	171.025619506836	"left"	"incorrect"	FALSE	33	0.66	1.22
4	2	18	"MOVE_LEFT"	15	1	"inverted"	1	-19.1596832275391	"right"	"correct"	FALSE	30	0.6	1.7
4	2	19	"MOVE_LEFT"	20	1	"inverted"	1	274.668731689453	"left"	"incorrect"	FALSE	35	0.7	1.6
