"Participant"	"Block"	"Episode"	"First_Action"	"first_non_na_index"	"Movement"	"Movement_Words"	"Balance"	"X0_y"	"side"	"correct_key"	"optimal_key"	"Tic"	"Time_of_Action"	"Time_of_Episode"
3	4	1	"MOVE_LEFT"	24	0	"normal"	0	217.939834594727	"left"	TRUE	TRUE	39	0.78	1.48
3	4	2	"MOVE_RIGHT"	20	1	"inverted"	0	-209.906707763672	"right"	FALSE	FALSE	35	0.7	1.54
3	4	3	"MOVE_LEFT"	25	0	"normal"	0	236.16455078125	"left"	TRUE	TRUE	40	0.8	1.54
3	4	4	"MOVE_LEFT"	25	0	"normal"	0	163.479095458984	"left"	TRUE	TRUE	40	0.8	1.34
3	4	5	"MOVE_RIGHT"	14	1	"inverted"	0	212.640563964844	"left"	TRUE	FALSE	29	0.58	2.08
3	4	6	"MOVE_LEFT"	23	1	"inverted"	0	-106.075729370117	"right"	TRUE	TRUE	38	0.76	2.28
3	4	7	"MOVE_RIGHT"	23	1	"inverted"	0	-159.551391601562	"right"	FALSE	FALSE	38	0.76	1.42
3	4	8	"MOVE_RIGHT"	18	1	"inverted"	0	288.429107666016	"left"	TRUE	FALSE	33	0.66	2.38
3	4	9	"MOVE_RIGHT"	17	0	"normal"	0	181.979141235352	"left"	FALSE	FALSE	32	0.64	2.02
3	4	10	"MOVE_LEFT"	22	1	"inverted"	0	119.686538696289	"left"	FALSE	TRUE	37	0.74	1.2
3	4	12	"MOVE_LEFT"	37	0	"normal"	0	-91.8774871826172	"right"	FALSE	TRUE	52	1.04	2.36
3	4	13	"MOVE_LEFT"	18	1	"inverted"	0	-184.761978149414	"right"	TRUE	TRUE	33	0.66	2.34
3	4	14	"MOVE_RIGHT"	17	1	"inverted"	0	162.366119384766	"left"	TRUE	FALSE	32	0.64	1.84
3	4	15	"MOVE_LEFT"	18	0	"normal"	0	122.124816894531	"left"	TRUE	TRUE	33	0.66	1.14
3	4	16	"MOVE_LEFT"	19	0	"normal"	0	122.440353393555	"left"	TRUE	TRUE	34	0.68	1.12
3	4	17	"MOVE_LEFT"	18	0	"normal"	0	207.795043945312	"left"	TRUE	TRUE	33	0.66	1.38
3	4	18	"MOVE_RIGHT"	18	1	"inverted"	0	-105.53108215332	"right"	FALSE	FALSE	33	0.66	2.06
3	4	19	"MOVE_RIGHT"	19	1	"inverted"	0	-44.9179992675781	"right"	FALSE	FALSE	34	0.68	1.18
3	4	20	"MOVE_RIGHT"	19	1	"inverted"	0	-206.667495727539	"right"	FALSE	FALSE	34	0.68	1.48
3	4	22	"MOVE_LEFT"	35	1	"inverted"	0	-121.750961303711	"right"	TRUE	TRUE	50	1	2.42
3	4	23	"MOVE_LEFT"	22	0	"normal"	0	167.384780883789	"left"	TRUE	TRUE	37	0.74	1.56
3	4	24	"MOVE_LEFT"	23	0	"normal"	0	236.339080810547	"left"	TRUE	TRUE	38	0.76	1.64
3	4	25	"MOVE_RIGHT"	25	1	"inverted"	0	-166.833770751953	"right"	FALSE	FALSE	40	0.8	1.64
3	4	26	"MOVE_RIGHT"	28	1	"inverted"	0	-111.340911865234	"right"	FALSE	FALSE	43	0.86	1.46
3	4	27	"MOVE_RIGHT"	32	1	"inverted"	0	-111.83772277832	"right"	FALSE	FALSE	47	0.94	1.56
3	4	28	"MOVE_RIGHT"	35	1	"inverted"	0	-75.9454650878906	"right"	FALSE	FALSE	50	1	1.46
3	4	29	"MOVE_LEFT"	28	0	"normal"	0	186.393844604492	"left"	TRUE	TRUE	43	0.86	1.5
3	4	30	"MOVE_LEFT"	22	0	"normal"	0	195.115951538086	"left"	TRUE	TRUE	37	0.74	1.42
